index,text
67, כיצד היה לפניו מאכל מדגים או מבשר או משא' מעדני' אל ימנע מלאכול כלל אלא משום יראת ה' שלא למלאות כרסו עד כדי השגת תאותו וכן כשבאה לידו מצוה וקשה עליו לעשותה ואינו נמנע מלעשותה שכן מצינו באברהם עתה ידעתי כי ירא אלהים אתה
68,"יסוד היראה הוא נסיון כי עיקר היראה נכר' בעת הנסיון וכמו שנכר' היראה ביצר נשים כך נכרת בכל מיני יצרים והקב""ה אינו מביא הכל בנסיון אלא כשמדבר לעשו' טובה לאדם בא השטן שהוא מדה""ד לפני הקב""ה ואומר רבש""ע לא יתכן לעשות לו טובה עד שיעמוד בנסיון לכך צדיקים נשבעין ליצרן לכובשו וכן כשהביא טובה על שאול וזרעו נסהו וכן אברהם ואיוב."
69, לעולם יהא אדם ערום ביראה מענה רך משיב חימה ידבר שלום עם אחיו ועם קרוביו ועם כל אדם כדי שיהא אהוב למעלה וחביב למטה ומתקבל על הבריות.
70, אמרו עליו על רבן יוחנן בן זכאי שלא הקדימו אדם שלום בשוק מעולם ויהיה ערום ביראה ובדעת לחשב מחשבות ערומות לתקנת העולם ולכבוד שמים וכל אדם שהוא ירא שמים לסוף דבריו נשמעים שנאמר (קהלת יב יג) סוף דבר הכל נשמע את האלהים ירא.
71, אדם שיש בו תורה ואין בו מעשים דומה למי שמסרו לו מפתחות הפנימיות ומפתחות החיצוניות לא מסרו לו בהי עייל ואיך יכנס
72,"שורש אהבת ה' ואהבת את ה' אלהיך בכל לבבך צונו בוראנו לעבדו ביראה שתהא אהבת נפשנו קשורה בנפשו בשמחה ובאהבתו ובלב טוב ושמחת האהבה כך היא עזה ומתגברת על לב אוהבי ה' [שאפי' ימים רבים שלא בא על אשתו ויש תאוה מרובה כנגדה ובשעה שיורה כחץ] אינו נהנה כנגד תגבורת ותוקף יראת ה' ושמחת בוראו וכל חבת שעשוע ילדיו כלא היו כנגד שעשועי לב האוהב את ה' בכל לבו ובכל נפשו ובכל מאודו בכל הרהוריו איך לעשות האוהב הבורא ית' ולזכות את הרבים ולעשות קידוש ה' ולמסור עצמו באהבת הבורא כאשר עשה פנחס הכהן אשר מסר נפשו באהב' יוצרו לקנא לשמו ושלא לחמוד ממון במקום שיש קידוש ה' במונעו לקחת ממון כמו שמצינו באברהם אם מחוט ועד שרוך נעל וכן באלישע שלא רצה לקחת ממון מנעמן ושלא לבטל דברי תורה בשביל תענוגים ושעשועי ילדיו וחיבת נשיו וגם לעזוב טיולים וראיית נשים ונעימות מזמרים כדי שיהא לבו שלם בשמחת ה' וטורח ועמל בדבר שהוא רצון הבורא ועליו לקחת משל מבשר ודם אם היה יודע דבר שהוא רצון המלך לעולם לא ינוח ולא ישקוט עד שישלים רצון המלך ויהיה שמח שמח' גדולה על אשר באו מעשיו לפני המלך מכ""ש לרצון הבורא שהוא חי וקיים על אחת כמה וכמה שיש לו לטרוח ולבקש איך יעשה וישלים רצון מצותיו."
73," העובד מאהבה עוסק בתורה ובמצות הולך בנתיבות החכמה הראויה ועוסק בתורה ואוהב ה' אהבה גדולה לא מפני דבר שבעולם ולא מפני יראת הרעה ולא כדי לירש את הטובה אלא עובד באמת מפני שהקב""ה אמת וסוף הטובה לבא בכללה וצריך לאהוב את הבורא אהבה עזה ורבה עד אשר יחלה לאהבתו."
74," כאדם החולה לאהבת אשה והוא שוגה תמיד באהבתה בשבתו ובקומו בצאתו ובבואו גם בעת מאכלו ומשתאו לא ינום ולא יישן מפני אהבתה יותר ויותר מזה תהיה אהבת הבור' בלב אוהביו ותמיד ישגו בה כמו שצונו בכל לבבך ובכל נפשך וזהו שאמר שלמה בחכמתו דרך משל כי חול' אהב' אני וזה דבר ידוע כיום וכשמש לכל מבין אשר לא תהיה אהבת הבורא קשורה בלב אדם עד אשר ישגה בה תמיד כגון שיעזוב כל אשר בעולם חוץ ממנו כמו שצונו בכל לבבך ולא יתכן זה אלא בדעה שידעהו לפיכך זה האמת וכללו של דבר כי צריך לו לאדם להבין ולהשכיל בחכמות ותבונה המודיעות לו את קונו כפי כחו שיש לו להבין ולהשכיל ולהשיג והבורא ית""ש ויתעלה זכרו הנכבד והנורא צוה לנו לאהבה וליראה שמו דכתיב (דברים ו ה) ואהבת את ה' אלהיך ונאמר את ה' אלהיך תירא והיאך הוא הדרך לאהבתו וליראתו בשעה שיתבונן האדם במעשיו של הקב""ה הגדולים והמופלאים אשר אין להם ערך ולא קץ מיד אוהב ומשבח ומפאר ומתאוה תאוה גדולה לדעת שם הגדול הנכבד והנורא."
75, וכן אמר דוד צמאה נפשי לאלהים לאל חי וכשהוא מחשב בדברים האלה בעצמו הוא נרתע לאחוריו וירא ויפחד שהוא בריה קטנה מאד ושפלה ועומד' בדעת קלה ומועטת לפניו וכן אמר דוד כי אראה שמיך מעשה אצבעותיך וגומר מה אנוש כי תזכרנו
76,"שורש ענוה במקום שיש גדולה וכבוד ירחיק עצמו ולא יכלול עצמו עם שאר בני אדם כיצד שהיה לפני רבו וזכר קשיא או תמיה אשר תמה או תירוץ אשר תירץ אל יאמר לרבו או לחבירו כך תרצתי או כך הקשיתי אלא כך הקשית כדי שלא יהנה לבבו ועוד יתן לרבו או לחברו הכבוד ולא לו וכן מצינו במשה שאמר ליהושע בחר לנו אנשים מכאן למד ר""ג שפי' מלתא באנפאי ובאנפי חבראי ועוד כתיב' שאמר הקב""ה לישעיהו את מי אשלח ומי ילך לנו מכאן למדה תורה דרך ענוה לרבני' ואם יקשה בעיניך למה כתיב את מי אשלח ולא כתיב נשלח שלא יאמר שתי רשויות הן וצריך שיקדים שם חבירו לשמו לכל דבר,"
77," בל' לעז בו""ש אימ""ניי ולא יאמר מנ""יי איבו""ש כמו שהיו עושין ב""ש וב""ה שהי' כל אחד מזכיר טעמו של חבירו קודם טעמו כאשר הוא מספר שניהם ואף בדברי העולם."
78, וכשיושב בישיבה ויודע קשיא ותירוץ טוב אל יקפוץ לאמרו עד שיראה שלא ישימו על לב אז יפתח פיו וכשהוא שומע על חבירו מדבר דבר אחד והוא יודע אותה כמו כן אל יקפוץ ואל יכנס בדברי חבירו לומר ידעתיה אלא ישתוק וישמענו כי פעמים רבות יהיה אשר ישמע בדבר טעם אשר לא שמע וגם מה הנאה יש לו להתפאר בדבר לאמר גם כמוך ידעתי.
79," סוף דבר כל מה שאדם יכול למעט כבודו כדי להגדיל כבוד יראי ה' צריך לעשו' שנא' נבזה בעיניו נמאס ואת יראי ה' יכבד ואם יראה שאחרי' מתכבדי' בענוה ולו הבושת ישמע להם כגון שהם גדולים ממנו והם אינם רוצי' לילך לפניו כלו' אף ענוי' אנחנו ובזה הוא מתבייש שיש לו לילך לפניהם וקיבל הבושת שדוחקי' אותו שילך והוא מצטער פן יאמרו עליו כמה הוא חצוף זה אשר הולך לפנינו שאנו גדולים ממנו כמה הוא מתגאה ובזה מתכבדים הם אעפ""כ יש לו לקבל הבושת כדי לכבדם ולהם יחשב חטא ועון שמתכבדי' בקלונו."
80, אל יכבד את חבירו במה שמתבייש כגון שקוראין לו בשמו והוא קוראו רבו כי אין זה כבודו כי הוא מתבייש בזה ודומה לו ללצנות וללעג ולא יכבד שם רבו בפני רבו אחר ולא את רבו בפניו שיאמר לרבו פלוני רבך שהרי אמרו לו תלמידיו לרבי אלעזר על רבו רבן יוחנן בן זכאי כבר נמנו עליך חביריך והתירוהו ואל יהנה מענוותנותו כבר אמרנו שלא ישבח אדם בענוה שלו שנא' יהללך זר ולא פיך ואם רוצה לשבח עצמו לתלמידו ולחבירו כדי שילמד מדרכיו יכול הוא לשבח את עצמו כמו שאמר דוד ואהיה תמים עמו כי שמרתי דרכי ה' וכן מצינו אותו שהגיד לתלמידיו במה האריך ימים.
81," אל יעמוד אדם במקום שמשבחים אותו שאי אפשר שלא יהנה בו כל זכיות שאדם עושה ואינו ענוה כמו תבשיל בלא מלח וכל ענוה שאין בא יראת שמים כמאכל בלא תבלין העוה""ז כנגד העוה""ב כמו ישן כנגד ער בחלום אין מתבייש שאם היה מתבייש לא היה נראה לו כאילו [שוכב עם האשה ומשחק עמה] ולא היה עושה דברים שאדם מתבייש בהם כשהוא ער והטעם לפי שהחלומות באים על ידי הרהורים וכשאדם מהרהר אין מתבייש מן הרהורים שאין אדם יודע ומבין שחבירו מהרהר בלבו לפיכך אינו מתבייש בחלומו ומי שהוא י""ש בכל לב שירא מבוראו מלהרהר דבר רע כשהוא ער גם לעולם לא יבא לו הרהור רע בחלומו."
82, וכן אמר יחזקאל ונפשי לא מטומאה שלא הרהרתי ביום ובאתי לידי קרי בליל' וכן דרשו רבותינו ונשמרת מכל דבר רע שלא יהרהר אדם ביום ויבא לידי קרי בלילה
83,"ולא יסתכל אדם באשה אפי' היא מכוערת ולא בבגדי צבע אשה ולא בבהמו' בשע' שנזקקין זה לזה ואפי' הוא מלא עינים כמלאך המות תנו רבנן ונשמרת מכאן א""ר פנחס בן יאיר תורה מביא' לידי זריזות וזריזות לידי זהירות וזהירות לידי נקיות ונקיות לידי פרישות ופרישות לידי טהרה וטהרה לידי יראת חטא ויראת חטא מביא לידי חסידות וחסידות מביא לידי תחיית המתים וחסידות גדולה מכלם שנא' אז דברת בחזון לחסידיך וי""א ענוה גדול' מכל' שנאמר (ישעיה סא א) יען משח ה' אותי לבשר ענוים שלחני לבשר חסידים לא נאמר אלא ענוים אבל הרשעים המהרהרים ואינם נשמרים מכל דבר רע באי' לידי טומאה בלילה ולידי חלומות והרהור קרי וכשם שאין בושת לחלו' כך אין בושת לרשעים במעשיהם בעולם הזה שנ' גם בוש לא יבושו גם הכלם לא ידעו וכל אותם הרשעים מהרהרים בדברים רעים ואינם מבטלים הרהורם בתורה או בדברים אחרים לעתיד לבא הקב""ה משלם במדה שעושה אדם נפרעים ממנו."
84," אף על פי שענוה מביא את האדם לעולם הבא אין ענוה נוהגת לעוה""ב ולא שום אדם יכול לכבד את חבירו ולומר שב אצלי כי כל אחד ינוח על משכבו וכל אחד יבא בשלום על מקומו המוכן לו וכל מי שמשפיל עצמו בעולם הזה ויכול להשתרר עצמו ולקחת גדולה ופרנסות על הצבו' והוא לא חפץ להתגאות כאשר עשו בני בתירה שירדו מנשיאותן לכבוד הלל שהיה גדול מהן וכל כיוצא בזה יהיה לראש לעולם הבא"
85,שורש התורה צריך האדם להעמיק וללמוד ולדע' מעש' בכל דבר שנ' שכל טוב לכל עושיהם ללומדיהם לא נאמר אלא לעושיהם שלא יהא אדם קורא ושונה ובועט באביו או ברבו או במי שגדול ממנו אלא לומד על מנת ללמד לשמור ולעשות וזו היא תורה לשמה וכל העוסק בתורה שלא לשמה נוח לו שלא נברא וכל אדם שעוסק בתורה ויודע כח המצו' ואין מקיימן אוי לו ולמזלו שהוא טורח בעולם כדי לקנות גהינם.
86," וגדול דינו מאשר לא למד ולא ידע להזהר כי הוא מבין ומתכיון למרוד כשאדם מבין צריך הוא להאיר דבריו שלא בלחש ולהיות אזניו ועיניו פנויים מכל דבר להיות פקוח פקוחי' אל התורה בשעת הלימוד מנין מיחזקאל דכתיב (יחזקאל מ ד) בן אדם ראה בעיניך ובאזנך שמע ושים לבך לכל אשר אני מראה אותך והלא דברים קל וחומר ומה הבנין שהיה נמדד בקנה אמר ליה לשום לבו ועיניו ואזניו ד""ת התלויין בשער' לא כ""ש וצריך לקבוע עתים לתורה בכל יום ובכל לילה לקיי' מה שנאמר (יהושע א ח) והגית בו יומם ולילה אחד המרבה ואחד הממעיט ובלבד שיכוין לבו לשמים."
87, טוב מעט ביראת ה' מהמון רשעים הלומדים כל היום ואינם מקיימים
88,"שורש התפלה שמחת לב בהקב""ה שנאמר (דברי הימים א טז י) התהללו בשם קדשו ישמח לב מבקשי ה' ולפיכ' הי' דוד מלך ישראל מנגן בכנור על כל תפלותיו וזמירותיו למלאו' לבבו שמחה באהבתו של הקב""ה וכשיתפלל אדם צריך שיכוין לבו לפני מי הוא עומד."
89, חמשה דברים מעכבים את התפלה אף על פי שהגיע זמנה ואלו הן טהרת ידים וכיסוי הערוה וטהרת מקום תפלה ודברים החופזים אותו וכונ' הלב.
90," טהר' ידים כיצד רוחץ ידיו במים עד מקום פרק היד לזרוע גיוינטר""א בלע""ז ואחר כך יתפלל היה מהלך והגיע זמן התפלה ולא היו לו מים הולך עד מקום המים ורוחץ את ידיו ואחר כך יתפלל היה בינו ובין המים יותר מד' מילין מקנח ידיו בצרור או בעפר או בקורה ומתפלל כדאמרינן בד""א לפניו אבל לאחוריו אין מחייבין אותו לחזור אלא עד מיל אבל אם עבר המיל יותר מקנח ידיו בצרור או בעפר או בקורה."
91," כסוי הערוה כיצד אף על פי שכסה את ערותו כדרך שמכסה לק""ש לא יתפלל עד שיכסה את לבו ואם לא כסה את לבו או שנאנס ואין לו במה שיכס' הואיל וכסה את ערותו ומתפלל יצא אבל לכתחלה לא יעשה."
92," טהרת מקום התפלה כיצד לא יעמוד במקום הטנופת ויתפלל ולא במרחץ ולא בבית הכסא ולא באשפה ולא במקום שאין חזקת טהרה עד שיבדקנו כללו של דבר כל מקום שאין קורין בו קרית שמע אין מתפללין בו וכשם שמרחיקין מצואה כך מרחיקין ממי רגלי' ומריח רע ומראות ערוה לקרות ק""ש כמו שמרחיקין לתפלה."
93, המתפלל ומצא צואה במקומו הואיל וחטא שלא בדק קודם שהתפלל יחזור ויתפלל במקום טהור.
94, היה עומד בתפלה וראה צואה כנגדו אם יכול להלך לפניו שירחיק ארבע אמות לאחריו ואם לאו יסלקנה לצדדין ואם אינו יכול יפסיק.
95," דברים החופזים אותו כיצד הרי שהיה צריך לנקביו ומתפלל תפלתו תועבה וחוזר ומתפלל אחר שעשה צרכיו ואם היה יכול להעמיד עצמו עד כדי מהלך פרסה תפלתו תפלה ואעפ""כ לא יתפלל עד שיבדוק יפה יפה ויסיר כיחו וניעו וכל דבר רוקו וכל צואת החוטם ואח""כ יתפלל."
